filenames,clean_text,label,title
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-test/alt.atheism/54189,relativist would like answer question way phrase question makes unanswerable concepts right wrong correct incorrect true false belong domain epistemological rather moral questions makes sense ask moral position right wrong although legitimate ask good better another position let illustrate point looking psychological derivatives epistemology ethics perception motivation respectively one certainly ask percept right correct true veridical wrong incorrect false illusory makes little sense ask motive true false hand strange ask whether percept morally good evil one certainly ask question motives therefore suggested answers c simply considered assume judge correctness moral judgment problem double barrelled agree first part rightness moral position meaningless question reasons stated irrelevant alleged implication implication one cannot feel peace better war certainly make value judgments bad better best without asserting correctness position sorry lengthy dismissal short e answer two individuals grotesquely disagree moral issue neither right correct wrong incorrect simply hold different moral values feelings,0,alt.atheism
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/sci.crypt/15353,know classified seem remember unless authorized govt illegal tempest shield equipment besides effective tempest shielding much difficult might think hi jim ra rogue cs neu edu rogue agent sod,11,sci.crypt
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/talk.politics.mideast/76104,apparently think sort one man judge jury declare total victory sit back enjoy applause picked wrong topic think rigged quotations sustain legend lie deir yassin massacre lot learn comes historical methodology basic level know big difference weighing evidence fairly merely finding quotations support preset opinions studied history israel must know many sources quotations axe grind therefore must careful quote example meir pa il cite indeed general scholar war hero mean everything comes mouth gold fact lack experience shows pa il fanatic embittered leftist much anti israel blathering forget anti irgun blathering would considered something like treason non israel contexts course consider find juicy quotation use attack israel benny morris hashomer hatzair represents scholar rehashes old attacks irgun fooled old zionist ideological catfight surfacing attack likud government look closely section deir yassin book war independence see indictment pure hot air best decades digging sort damning evidence unfortunately book parades scholarly forced put footnotes clearly see deir yassin account based nothing deir yassin massacre never took place propagandists tell sabra shatila massacres get feeling people like blame jews massacres even make must sound spicy even jews like reasons please confuse deir yassin massacre stuff facts scholarship stick begin version unless find something serious contradict,17,talk.politics.mideast
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/comp.windows.x/67393,read code put applications virtual desktop stuff tvtwm confuse application confusing virtual ness chicken egg wanted see applied version xroach never could quite get ssetroot work either suggestions luckily xv root quit trick part also ld quite interested hearing icon region virtual window tvtwm read thread last week thanx fish,5,comp.windows.x
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/rec.autos/102789,ah yes big chunks sump solution simple sort like advice aunt always gave never scratch ear anything except elbow,7,rec.autos
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/sci.space/60248,blind carbon copy spacenews austen rand org cti austen rand org subject white house outlines options station russian cooperation date tue apr pdt richard buenneke buenneke austen rand org gibbons outlines space station redesign guidance nasa headquarters washington c april release dr john h gibbons director office science technology policy outlined members designate advisory committee redesign space station april three budget options guidance committee deliberations redesign space station low option billion mid range option billion high option billion considered committee option would cover total expenditures space station fiscal year would include funds development operations utilization shuttle integration facilities research operations support transition cost also must include adequate program reserves insure program implementation within available funds next years billion reserved within nasa budget president new technology investment result station options billion must accompanied offsetting reductions rest nasa budget example space station option billion would require billion offsets nasa budget next years gibbons presented information organizational session advisory committee generally members designate focused upon administrative topics used session get acquainted also received legal ethics briefing orientation process station redesign team following develop options advisory committee consider gibbons also announced united states international partners europeans japanese canadians decided consultation give full consideration use russian assets course space station redesign process end russians asked participate redesign effort needed consulting basis redesign team make use expertise assessing capabilities mir possible use mir russian capabilities systems u international partners hope benefit expertise russian participants assessing russian systems technology overall goal redesign effort develop options reducing station costs preserving key research exploration capabilitiaes careful integration russian assets could key factor achieving goal gibbons reiterated president clinton committed redesigned space station making every effort preserve science technology jobs space station program represents however also committed space station well managed one consume national resources used invest future industry nation nasa administrator daniel goldin said russian participation accomplished east west space science center university maryland leadership roald sagdeev,14,sci.space
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-test/talk.politics.misc/178868,,18,talk.politics.misc
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/comp.windows.x/67276,developed toolkit running x window system toolkit copes languages based x r n facility know kinds n implementation mit x r release xsi ximp original implementation toolkit uses xsi toolkit manages character size based font management system order wchar typed character strings must decomposed character sets means one wchar type compound string ascii kanji mixed example given element wchar array must checked corresponding character set based bit layout application environment locale case locale japanese wchar character classified either iso jisx need function function must check many characters top character set character set could find public x r function inevitably used xsi internal functions construct function following source code function decomposecharacterset n h may look like c code really c id n h v iima exp iima ifndef n h define n h include x xlib h extern int decomposecharacterset const wchar wc str int wc len char buf int buflen int scanned len char charset extern xmstring wchartoxmstring const wchar wc str extern xmstringcharset charsetofwchar const wchar wc endif n h n cc id n cc v iima exp include stdlib h include x xlibint h include xm xm h include n h extern c include x wchar h define xwcdecomposeglyphcharset xxx xwcdecomposeglyphcharset define xmbfscs xxx xmbfscs define xmbctidtocsid xxx xmbctidtocsid include xlocaleint h undef xwcdecomposeglyphcharset undef xmbfscs undef xmbctidtocsid extern int xwcdecomposeglyphcharset xlocale const wchar int char int int int extern charset xmbfscs xlocale csid extern csid xmbctidtocsid xlocale csid int decomposecharacterset const wchar wc str int wc len char buf int buf len int scanned len char charset xlocale xlocale xfallbackconvert int ctid int status charset xcharset status xwcdecomposeglyphcharset xlocale wc str wc len buf buf len scanned len ctid status success xcharset xmbfscs xlocale xmbctidtocsid xlocale ctid charset xcharset xcharset cs name null else charset null return status included file xlocaleint h also xsi internal copied file toolkit directory compiled serious issue occured tried compile toolkit application hp machine os version hp ux tried link application based toolkit link errors occured saying following functions missing xmbctidtocsid code xmbfscs code xwcdecomposeglyphcharset code xfallbackconvert code used mit release version x r xsi implementation hp ran applications successfully one reasons use xsi hp release hp x r os way know hp r would implemented hoped xsi popularity used internal functions hp linker complains xsi internal functions implemented observe hp libx used ximp implementation sure used mit vanilla ximp version version ximp therefore finding counter part functions mit ximp xsi seem lead us solution question goal know construct function like decomposecharacterset listed function check character set element wchar type strings depending locales public function perfect even want use internal functions hp x r mit r order render wchar type string must machinery judge character sets proper fonts selected string way find without hp x r source files want know use goal help comments would highly appreciated also appreciate anyone tell ximp treating around area even hp implementation thank,5,comp.windows.x
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-test/talk.religion.misc/84292,universe mirrored puddle amazing always seems another bottle bheer aleph one bottles beer wall aleph one null bottles beer puddle,19,talk.religion.misc
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-train/sci.crypt/15598,true mass market need strong crypto willing pay price one buy strong crypto today one willing spend enough thus concern economic issue worth worrying system takes hold government outlaw systems something voluntary become system available political economic issue separate matter may making implied advocacy cheap secure crypto everyone true clipper chip would probably prevent except via clipper cheap secure crypto everyone political discussion economic one whole point clipper resolve political policy tension securing legitimate communications tapping crooks,11,sci.crypt
/Users/C305535/scikit_learn_data/20news_home/20news-bydate-test/rec.sport.baseball/104939,take look standings real easy get focussed minutinae forget giants happen first place working screw changing things think ought different folks like argue theoretical details prefer watch teams win giants slip third talk arrange batting order think stupid focus wrong simple fact working majors follow al comment majors nl choice b league team clark hit third fantasy team grace murray never able get clark take three without hesitation real life think clark williams even close much prefer defense headcasing matt good solid swing real punch drops wanders cleanup according latest baseball weekly hitting last week hitting exactly chopped liver mostly though giants winning frankly long continues rather silly second guess strategy evidently folks would rather right first,9,rec.sport.baseball
